"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Appling","1054","US-13001","13","1","18561","95","29","5678.57","156.24","312.48","58"
"Atkinson","447","US-13003","13","3","8330","58","3","5366.15","36.01","156.06","13"
"Bacon","602","US-13005","13","5","11404","47","14","5278.85","122.76","157.84","18"
"Baker","84","US-13007","13","7","3116","20","4","2695.76","128.37","256.74","8"
"Baldwin","2132","US-13009","13","9","44428","167","57","4798.78","128.3","319.62","142"
"Banks","501","US-13011","13","11","19982","68","8","2507.26","40.04","195.18","39"
"Barrow","2259","US-13013","13","13","86383","246","48","2615.1","55.57","209.53","181"
"Bartow","2983","US-13015","13","15","110771","298","88","2692.94","79.44","173.33","192"
"Ben Hill","795","US-13017","13","17","16645","81","26","4776.21","156.2","408.53","68"
"Berrien","461","US-13019","13","19","19276","22","12","2391.58","62.25","150.45","29"
"Bibb","6115","US-13021","13","21","152150","856","175","4019.06","115.02","145.91","222"
"Bleckley","444","US-13023","13","23","12838","27","21","3458.48","163.58","179.16","23"
"Brantley","350","US-13025","13","25","19202","33","10","1822.73","52.08","52.08","10"
"Brooks","525","US-13027","13","27","15727","55","26","3338.21","165.32","89.02","14"
"Bryan","1163","US-13029","13","29","39137","81","11","2971.61","28.11","186.52","73"
"Bulloch","2908","US-13031","13","31","79467","132","28","3659.38","35.23","193.79","154"
"Burke","828","US-13033","13","33","22342","87","10","3706.02","44.76","308.84","69"
"Butts","674","US-13035","13","35","25174","54","43","2677.37","170.81","198.62","50"
"Calhoun","250","US-13037","13","37","6317","47","8","3957.57","126.64","300.78","19"
"Camden","1313","US-13039","13","39","53924","56","13","2434.91","24.11","194.72","105"
"Candler","468","US-13043","13","43","10837","32","19","4318.54","175.33","544.43","59"
"Carroll","2840","US-13045","13","45","120119","160","69","2364.32","57.44","166.5","200"
"Catoosa","1226","US-13047","13","47","68771","78","19","1782.73","27.63","202.12","139"
"Charlton","639","US-13049","13","49","13251","25","7","4822.28","52.83","218.85","29"
"Chatham","8596","US-13051","13","51","292176","777","166","2942.06","56.82","171.13","500"
"Chattahoochee","1678","US-13053","13","53","10749","13","1","15610.75","9.3","632.62","68"
"Chattooga","800","US-13055","13","55","24766","56","22","3230.23","88.83","343.21","85"
"Cherokee","6185","US-13057","13","57","266617","492","93","2319.81","34.88","152.65","407"
"Clarke","5145","US-13059","13","59","129779","229","44","3964.43","33.9","215.75","280"
"Clay","121","US-13061","13","61","2855","9","3","4238.18","105.08","35.03","1"
"Clayton","7121","US-13063","13","63","304838","644","162","2335.99","53.14","82.67","252"
"Clinch","380","US-13065","13","65","6656","28","7","5709.13","105.17","375.6","25"
"Cobb","19872","US-13067","13","67","790588","1801","429","2513.57","54.26","102.33","809"
"Coffee","2084","US-13069","13","69","43042","310","51","4841.78","118.49","276.47","119"
"Colquitt","1907","US-13071","13","71","45393","155","34","4201.09","74.9","138.79","63"
"Columbia","3818","US-13073","13","73","158631","184","61","2406.84","38.45","129.86","206"
"Cook","554","US-13075","13","75","17437","61","14","3177.15","80.29","97.49","17"
